2013/0151965-000 ; 9933 ; 1981 ;  ; 28/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
2013/0240173-000 ; 9933 ; 1981 ;  ; 28/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
2011/0095186-000 ; 9933 ; 1981 ;  ; 10/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
9151/0924773-000 ; 9933 ; 1981 ;  ; 10/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
2014/0020543-000 ; 9933 ; 1981 ;  ; 18/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
2011/0113858-000 ; 9933 ; 1981 ;  ; 20/02/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2008/0023156-000 ; 9933 ; 1981 ;  ; 27/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
9017/9055209-000 ; 9933 ; 1981 ;  ; 27/02/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2012/0156411-000 ; 9933 ; 1981 ;  ; 27/02/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2006/0138881-000 ; 9933 ; 1981 ;  ; 27/02/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2010/0321694-000 ; 8661 ; 1981 ;  ; 28/02/2014 ; Subsídio Processual ; Documento ; Solicitado
9151/0972022-000 ; 9933 ; 1981 ;  ; 28/02/2014 ; Atos Específicos ; Outras diligências ; Solicitado
2008/0198144-000 ; 8647 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0023183-000 ; 8661 ; 1981 ;  ; 07/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0023474-000 ; 8661 ; 1981 ;  ; 05/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0028853-000 ; 8661 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0024118-000 ; 8661 ; 1981 ;  ; 07/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0023985-000 ; 8661 ; 1981 ;  ; 07/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0023509-000 ; 8661 ; 1981 ;  ; 05/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0017789-000 ; 8661 ; 1981 ;  ; 05/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0013067-000 ; 8661 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Cálculo ; Solicitado
2014/0022364-000 ; 8661 ; 1981 ;  ; 07/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0025255-000 ; 8661 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Documento ; Solicitado
9151/0940102-000 ; 9933 ; 1981 ;  ; 06/03/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2014/0021163-000 ; 8661 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2014/0024496-000 ; 8661 ; 1981 ;  ; 06/03/2014 ; Subsídio Processual ; Cálculo ; Solicitado
2013/0181861-000 ; 8661 ; 1981 ;  ; 28/02/2014 ; Subsídio Processual ; Documento ; Solicitado
9085/9057444-000 ; 8661 ; 1981 ;  ; 11/03/2014 ; Subsídio Processual ; Documento ; Solicitado
2010/0346000-000 ; 9933 ; 1981 ;  ; 06/03/2014 ; Atos Específicos ; Busca de peças, dados cadastrais, resultados e decisões ; Solicitado
2014/0007915-000 ; 8661 ; 1981 ; 1113210015 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0009956-000 ; 8661 ; 1981 ; 1113210079 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016936-000 ; 8661 ; 1981 ; 1113210121 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0011338-000 ; 8661 ; 1981 ; 1113210239 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018394-000 ; 8661 ; 1981 ; 1113210264 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0013316-000 ; 8661 ; 1981 ; 1113210300 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019586-000 ; 8661 ; 1981 ; 1113210704 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018239-000 ; 8661 ; 1981 ; 1113220058 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022234-000 ; 8652 ; 1981 ; 1113217467 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016740-000 ; 8661 ; 1981 ; 1113220207 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022290-000 ; 8661 ; 1981 ; 1113221027 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020588-000 ; 8661 ; 1981 ; 1113220935 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019394-000 ; 8661 ; 1981 ; 1113221323 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0016081-000 ; 8661 ; 1981 ; 1113222090 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017138-000 ; 8661 ; 1981 ; 1113223892 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018192-000 ; 8661 ; 1981 ; 1113223589 ; 06/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017354-000 ; 8661 ; 1981 ; 1113224215 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019712-000 ; 8661 ; 1981 ; 1113224887 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2010/0249183-000 ; 8661 ; 1981 ; 1113225790 ; 24/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0014033-000 ; 8661 ; 1981 ; 1113225792 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016475-000 ; 8661 ; 1981 ; 1113226053 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016356-000 ; 8661 ; 1981 ; 1113227412 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016296-000 ; 8661 ; 1981 ; 1113227698 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016189-000 ; 8661 ; 1981 ; 1113228044 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022171-000 ; 8661 ; 1981 ; 1113228145 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0013020-000 ; 8661 ; 1981 ; 1113228573 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022105-000 ; 8661 ; 1981 ; 1113228821 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019574-000 ; 8661 ; 1981 ; 1113228889 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016756-000 ; 8661 ; 1981 ; 1113229382 ; 26/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019192-000 ; 8661 ; 1981 ; 1113229431 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0239867-000 ; 8661 ; 1981 ; 1113229429 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0019750-000 ; 8661 ; 1981 ; 1113229801 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0245793-000 ; 8661 ; 1981 ; 1113229665 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0017966-000 ; 8661 ; 1981 ; 1113229759 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0003858-000 ; 8661 ; 1981 ; 1113230191 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0014836-000 ; 8661 ; 1981 ; 1113230405 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0013682-000 ; 8661 ; 1981 ; 1113233407 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019070-000 ; 8661 ; 1981 ; 1113233447 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017917-000 ; 8661 ; 1981 ; 1113233520 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016687-000 ; 8661 ; 1981 ; 1113233761 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0016581-000 ; 8661 ; 1981 ; 1113233716 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0017909-000 ; 8661 ; 1981 ; 1113233673 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0013525-000 ; 8661 ; 1981 ; 1113233834 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016930-000 ; 8661 ; 1981 ; 1113234474 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017562-000 ; 8661 ; 1981 ; 1113234917 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0013524-000 ; 8661 ; 1981 ; 1113234594 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0012627-000 ; 8661 ; 1981 ; 1113234623 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0190367-000 ; 8661 ; 1981 ; 1113234766 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0011330-000 ; 8661 ; 1981 ; 1113234743 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017669-000 ; 8661 ; 1981 ; 1113234818 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0009912-000 ; 8661 ; 1981 ; 1113234857 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0010118-000 ; 8661 ; 1981 ; 1113234940 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018965-000 ; 8661 ; 1981 ; 1113237371 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018947-000 ; 8661 ; 1981 ; 1113237988 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0208927-000 ; 8661 ; 1981 ; 1113239503 ; 26/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0018642-000 ; 8661 ; 1981 ; 1113239231 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018639-000 ; 8661 ; 1981 ; 1113239022 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019755-000 ; 8661 ; 1981 ; 1113239078 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023623-000 ; 8661 ; 1981 ; 1113239154 ; 06/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019974-000 ; 8661 ; 1981 ; 1113239338 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018410-000 ; 8661 ; 1981 ; 1113239610 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018459-000 ; 8661 ; 1981 ; 1113240001 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022288-000 ; 8661 ; 1981 ; 1113240298 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018184-000 ; 8661 ; 1981 ; 1113240509 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018000-000 ; 8661 ; 1981 ; 1113241308 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016085-000 ; 8661 ; 1981 ; 1113241376 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017989-000 ; 8661 ; 1981 ; 1113241720 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020983-000 ; 8661 ; 1981 ; 1113243806 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020208-000 ; 8652 ; 1981 ; 1113243672 ; 25/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017581-000 ; 8661 ; 1981 ; 1113245066 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019271-000 ; 8661 ; 1981 ; 1113245825 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
9151/0982773-000 ; 8661 ; 1981 ; 1313243927 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018999-000 ; 8661 ; 1981 ; 1113245871 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019411-000 ; 8661 ; 1981 ; 1113246594 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018986-000 ; 8661 ; 1981 ; 1113244992 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019152-000 ; 8661 ; 1981 ; 1113246104 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017377-000 ; 8661 ; 1981 ; 1113246264 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017784-000 ; 8661 ; 1981 ; 1113247445 ; 28/02/2014 ; Informações ; Cálculo ; Analisado
2014/0014736-000 ; 8661 ; 1981 ; 1113246407 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0008982-000 ; 8661 ; 1981 ; 1113247599 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0014377-000 ; 8661 ; 1981 ; 1113247008 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018147-000 ; 8661 ; 1981 ; 1113246929 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019668-000 ; 8661 ; 1981 ; 1113246691 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2011/0086542-000 ; 8661 ; 1981 ; 1313247634 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0014091-000 ; 8661 ; 1981 ; 1113246538 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0074612-000 ; 8661 ; 1981 ; 1113247405 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018596-000 ; 8661 ; 1981 ; 1113246790 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019776-000 ; 8661 ; 1981 ; 1113247186 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023056-000 ; 8661 ; 1981 ; 1113247168 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019601-000 ; 8661 ; 1981 ; 1113246659 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0014943-000 ; 8661 ; 1981 ; 1113247224 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018982-000 ; 8661 ; 1981 ; 1113246445 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019428-000 ; 8661 ; 1981 ; 1113246373 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020492-000 ; 8661 ; 1981 ; 1113247241 ; 06/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0021280-000 ; 8652 ; 1981 ; 1113246633 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
